index,Subspecialty,Question Number,Question Text,Question Images,Alternatives,Correct Alternative,Explanation,Reference,Question Link
11,Breast,1,"      A 13 year old girl presents with a firm, palpable 3.5 cm breast mass. She undergoes an ultrasound guided biopsy and subsequent local excision showing a fibroepithelial lesion with circumscribed borders, uniformly increased stromal cellularity, glandular proliferation with pericanalicular growth pattern and prominent gynecomastoid-like usual type ductal hyperplasia. Rare mitotic activity (< 1/10 high power fields) is identified. Stromal cytologic atypia is not present. What is the correct diagnosis?   Fibroadenoma Juvenile fibroadenoma Myxoid fibroadenoma Phyllodes tumor (benign) Phyllodes tumor (borderline)","['https://www.pathologyoutlines.com/imgau/breastfibroadenoma_TozbikianBRQ1b.jpg', 'https://www.pathologyoutlines.com/imgau/breastfibroadenoma_TozbikianBRQ1a.jpg']","['A) Fibroadenoma', 'B) Juvenile fibroadenoma', 'C) Myxoid fibroadenoma', 'D) Phyllodes tumor (benign)', 'E) Phyllodes tumor (borderline)']",B,Juvenile fibroadenoma. The clinical presentation and histologic features are characteristic of a juvenile fibroadenoma.,https://www.pathologyoutlines.com/topic/breastfibroadenoma.html,https://www.pathologyoutlines.com/review-questions?sid=2
12,Breast,2, A 25 year old woman presents with a 3 cm breast mass. An ultrasound guided biopsy shows a fibroepithelial lesion. Which histologic feature is consistent with a diagnosis of fibroadenoma?   Circumscribed borders Marked stromal cytologic atypia Stromal condensation around glandular structures Stromal mitotic activity (7 - 8/10 high power fields) Stromal overgrowth,['https://www.pathologyoutlines.com/imgau/breastfibroadenoma_Tozbikian06.jpg'],"['A) Circumscribed borders', 'B) Marked stromal cytologic atypia', 'C) Stromal condensation around glandular structures', 'D) Stromal mitotic activity (7 - 8/10 high power fields)', 'E) Stromal overgrowth']",A,"Circumscribed borders. Fibroadenomas generally show noninfiltrative, circumscribed borders. The histologic features in answer choices B, C, D and E are observed in phyllodes tumors.",https://www.pathologyoutlines.com/topic/breastfibroadenoma.html,https://www.pathologyoutlines.com/review-questions?sid=2
13,Breast,3, Which of the following is true about the breast lesion shown above?   Displays infiltrative margins Most common benign tumor arising in the breast Occurs primarily in postmenopausal women Often has a brisk mitotic rate Stromal overgrowth is a key finding,['https://www.pathologyoutlines.com/imgau/breastfibroadenomatoid_AlexanderBRQ.jpg'],"['A) Displays infiltrative margins', 'B) Most common benign tumor arising in the breast', 'C) Occurs primarily in postmenopausal women', 'D) Often has a brisk mitotic rate', 'E) Stromal overgrowth is a key finding']",B,Most common benign tumor arising in the breast. This is a fibroadenoma.,https://www.pathologyoutlines.com/topic/breastfibroadenoma.html,https://www.pathologyoutlines.com/review-questions?sid=2
14,Breast,4,Fibroadenomas harbor epithelial atypia or malignancy at approximately what rate?   0.2% 2% 20% 50%,[],"['A) 0.2%', 'B) 2%', 'C) 20%', 'D) 50%']",B,"2%. The classification and behavior of fibroepithelial tumors of the breast including fibroadenoma and phyllodes tumor is driven by the stroma. However, epithelial changes may be seen and are thought to occur by chance or are driven by unrelated risk factor(s). Thus, epithelial atypia and malignancy is uncommon, with a recent large study by Krishnamurthy et al. showing a rate of ~2% (<a href=""30909180"">Breast Dis 2019;38:97</a>). See <a href=""https://www.pathologyoutlines.com/caseofweek/case533.htm"">Case #533</a> for more information.",https://www.pathologyoutlines.com/topic/breastfibroadenoma.html,https://www.pathologyoutlines.com/review-questions?sid=2
15,Breast,5,  What is the risk for subsequent breast cancer associated with the illustrated lesion?   1.5 - 2 times increased risk 2 - 3 times decreased risk 4 - 5 times increased risk 8 - 11 times increased risk No change in risk compared to control populations,['https://www.pathologyoutlines.com/imgau/breastepithelialductalhyperplasiaLerwill14.jpg'],"['A) 1.5 - 2 times increased risk', 'B) 2 - 3 times decreased risk', 'C) 4 - 5 times increased risk', 'D) 8 - 11 times increased risk', 'E) No change in risk compared to control populations']",A,. 1.5 - 2 times increased risk,https://www.pathologyoutlines.com/topic/breastepithelialductalhyperplasia.html,https://www.pathologyoutlines.com/review-questions?sid=2
16,Breast,6,What is the typical high molecular weight cytokeratin / estrogen receptor (HWMCK / ER) immunoprofile for usual ductal hyperplasia of the breast?   HMWCK negative / ER diffusely positive HMWCK negative / ER negative HMWCK mosaic positive / ER diffusely positive HMWCK mosaic positive / ER heterogeneously positive HMWCK mosaic positive / ER negative,[],"['A) HMWCK negative / ER diffusely positive', 'B) HMWCK negative / ER negative', 'C) HMWCK mosaic positive / ER diffusely positive', 'D) HMWCK mosaic positive / ER heterogeneously positive', 'E) HMWCK mosaic positive / ER negative']",D,. HMWCK mosaic positive / ER heterogeneously positive,https://www.pathologyoutlines.com/topic/breastepithelialductalhyperplasia.html,https://www.pathologyoutlines.com/review-questions?sid=2
17,Breast,7,Which of the following is a feature of usual ductal hyperplasia that aids in distinguishing it from low grade ductal carcinoma in situ?   Cellular maturation Monomorphic hyperchromatic nuclei Palisading around fibrovascular cores Polarization around secondary spaces Red macronucleoli,[],"['A) Cellular maturation', 'B) Monomorphic hyperchromatic nuclei', 'C) Palisading around fibrovascular cores', 'D) Polarization around secondary spaces', 'E) Red macronucleoli']",A,. Cellular maturation,https://www.pathologyoutlines.com/topic/breastepithelialductalhyperplasia.html,https://www.pathologyoutlines.com/review-questions?sid=2
18,Breast,8," Regarding this breast specimen, what is the correct diagnosis?   Intraductal papillary carcinoma Intraductal papilloma with apocrine metaplasia Intraductal papilloma with DCIS Intraductal papilloma with LCIS Invasive papillary carcinoma",['https://www.pathologyoutlines.com/imgau/breastpapillomali08.jpg'],"['A) Intraductal papillary carcinoma', 'B) Intraductal papilloma with apocrine metaplasia', 'C) Intraductal papilloma with DCIS', 'D) Intraductal papilloma with LCIS', 'E) Invasive papillary carcinoma']",B,This intraductal papilloma shows typical features of apocrine metaplasia.,https://www.pathologyoutlines.com/topic/breastpapilloma.html,https://www.pathologyoutlines.com/review-questions?sid=2
19,Breast,9,What is the staining pattern of p63 for intraductal papilloma of the breast without atypia?   At the periphery of involved duct only In the fibrovascular cores only Intraductal papillomas do not stain for p63 At the periphery and in the fibrovascular cores,[],"['A) At the periphery of involved duct only', 'B) In the fibrovascular cores only', 'C) Intraductal papillomas do not stain for p63', 'D) At the periphery and in the fibrovascular cores']",D,"p63 stain for myoepithelial cells is positive throughout the lesion, including in the fibrovascular cores and at the periphery of the involved duct.",https://www.pathologyoutlines.com/topic/breastpapilloma.html,https://www.pathologyoutlines.com/review-questions?sid=2
20,Breast,10,"What is the typical staining pattern of atypical epithelial proliferation involving an intraductal papilloma of the breast?   Diffusely positive for ER and patchy positive for CK5/6, negative for p63 Diffusely positive for ER, negative for p63 and CK5/6 Diffusely positive for ER, p63 and CK5/6 Negative for ER, p63 and CK5/6 Patchy positive for ER, negative for p63 and CK5/6",[],"['A) Diffusely positive for ER and patchy positive for CK5/6, negative for p63', 'B) Diffusely positive for ER, negative for p63 and CK5/6', 'C) Diffusely positive for ER, p63 and CK5/6', 'D) Negative for ER, p63 and CK5/6', 'E) Patchy positive for ER, negative for p63 and CK5/6']",B,"The atypical low grade epithelial proliferation is diffusely positive for ER, negative for CK5/6 and negative for p63.",https://www.pathologyoutlines.com/topic/breastpapilloma.html,https://www.pathologyoutlines.com/review-questions?sid=2
21,Clinical pathology,1,"A 17 year old unrestrained male passenger of a motor vehicle accident arrived at the emergency department with multiple fractures of the bilateral upper and lower extremities, hematomas and contusions. The patient exhibited signs of confusion and lethargy. The presence of nonpurulent serous drainage from the nose was concerning as it could indicate a cerebrospinal fluid leak from a suspected cranial trauma. What is the most specific test to determine the source of the rhinorrhea?   β2 transferrin β trace protein Glucose Radionuclide cisternography Ring sign",[],"['A) β2 transferrin', 'B) β trace protein', 'C) Glucose', 'D) Radionuclide cisternography', 'E) Ring sign']",A,"β2 transferrin. β2 transferrin is a transferrin variant found in cerebrospinal fluid (CSF), perilymph of the ear and vitreous humor of the eye. It is a highly specific marker for CSF. Answer D is incorrect because radionucleotide cisternography is very specific for identifying a CSF leak; however, it cannot distinguish between a rhinologic versus an otologic source. Answer B is incorrect because β trace protein, although shown in some studies to rival β2 transferrin in specificity and sensitivity, is also present in blood. In certain patient groups, β trace protein is decreased and should not be used. Answer E is incorrect because ring sign is a visible halo sometimes found at the bedside of patients with bloodstains mixed with CSF. It has poor specificity for CSF detection. Answer C is incorrect because although the use of glucose testing strips on rhinorrhea specimens was once thought to be a positive indication of the presence of CSF, studies have shown that glucose can be detected in otherwise healthy patients. The detection of glucose in rhinorrhea is not considered sensitive or specific for CSF (<a href=""26370330"" class=""bl"">Int Forum Allergy Rhinol 2016;6:8</a>).",https://www.pathologyoutlines.com/topic/chemistrytransferrin.html,https://www.pathologyoutlines.com/review-questions?sid=3
22,Clinical pathology,2,"An 18 year old woman with past medical history of sickle cell trait, iron deficiency and neutropenia presents to the office for follow up. She states that she has been having right lower quadrant pain for the past week. The pain can become so severe that she rates it at 7/10. It causes nausea and abdominal fullness. She denies fever, colicky pain or flank pain. The patient serum transferrin concentration is 390 mg/dL (normal: 200 mg/dL to 360 mg/dL). Which of the following is most likely observed in this patient?   Ferritin concentration of 10 ng/mL Ferritin concentration of 200 ng/mL Iron concentration of 100 μg/dL Iron saturation 80% Total iron binding capacity of 200 μg/dL",[],"['A) Ferritin concentration of 10 ng/mL', 'B) Ferritin concentration of 200 ng/mL', 'C) Iron concentration of 100 μg/dL', 'D) Iron saturation 80%', 'E) Total iron binding capacity of 200 μg/dL']",A,"Ferritin concentration of 10 ng/mL. Understanding the normal ranges for transferrin, iron saturation, iron concentration and TIBC will demonstrate that normal ferritin concentration in women is 24 to 307 ng/mL. The patient has a history of anemia and presents with an elevated transferrin; therefore, the ferritin concentration should be decreased. Answers B, C, D and E are incorrect because these responses are consistent with normal iron levels.",https://www.pathologyoutlines.com/topic/chemistrytransferrin.html,https://www.pathologyoutlines.com/review-questions?sid=3
23,Clinical pathology,3,Hypertransferrinemia can be seen in patients with   Acute myocardial infarction Cirrhosis Hypoalbuminemia Iron deficiency Nephrotic syndrome,[],"['A) Acute myocardial infarction', 'B) Cirrhosis', 'C) Hypoalbuminemia', 'D) Iron deficiency', 'E) Nephrotic syndrome']",D,Iron deficiency. Iron deficiency is the only option that is compatible with an elevated transferrin level. Answer C is incorrect because hypotransferrinemia usually accompanies hypoalbuminemia and is also an indication of protein malnutrition. Answer E is incorrect because nephrotic syndrome causes loss of proteins such as transferrin. Answer B is incorrect because cirrhosis results in decreased production of all proteins synthesized in the liver. Answer A is incorrect because hypotransferrinemia is associated with acute myocardial infarction rather than normal or excess transferrin. Transferrin is also a negative acute phase reactant and would be decreased in the hours and days following an acute event such as an infarction.,https://www.pathologyoutlines.com/topic/chemistrytransferrin.html,https://www.pathologyoutlines.com/review-questions?sid=3
24,Clinical pathology,4, After how many drug half lives is steady state concentration typically achieved with multiple dosing for therapeutic drug monitoring?   1 2 3 4 5,['https://www.pathologyoutlines.com/imgau/chemistrytherapeuticdrugmonitoringwang01.jpg'],"['A) 1', 'B) 2', 'C) 3', 'D) 4', 'E) 5']",E,"5. Steady state, achieved when drug administration and elimination rates balance, typically occurs within 5 half lives (achieving 97% of the steady state concentration) if the dosing interval matches the drug's half life. Answers A - D are incorrect because &lt; 5 half lives of a drug is insufficient to reach a steady state.",https://www.pathologyoutlines.com/topic/chemistrytherapeuticdrugmonitoring.html,https://www.pathologyoutlines.com/review-questions?sid=3
25,Clinical pathology,5,"What is the therapeutic index of a drug?   Range of doses over which a drug is effective without being toxic Ratio between the drug's absorption rate and its elimination rate Ratio between the toxic dose and the effective dose of a drug, indicating its safety margin Time it takes for a drug to reach its peak concentration in the blood",[],"['A) Range of doses over which a drug is effective without being toxic', ""B) Ratio between the drug's absorption rate and its elimination rate"", 'C) Ratio between the toxic dose and the effective dose of a drug, indicating its safety margin', 'D) Time it takes for a drug to reach its peak concentration in the blood']",C,"Ratio between the toxic dose and the effective dose of a drug, indicating its safety margin. If the therapeutic index is small, suggesting a narrow margin between effective and toxic concentrations, careful dosing and close monitoring for toxicity are essential. Answer A is incorrect because this describes the therapeutic window. Answer B is incorrect because these parameters are used to calculate steady state.  Answer D is incorrect because it describes time to maximum plasma concentration, not therapeutic index.",https://www.pathologyoutlines.com/topic/chemistrytherapeuticdrugmonitoring.html,https://www.pathologyoutlines.com/review-questions?sid=3
26,Clinical pathology,6,Which of the following therapeutic drugs is commonly monitored in the clinical chemistry laboratory?   Lamotrigine Lithium Methotrexate Sirolimus,[],"['A) Lamotrigine', 'B) Lithium', 'C) Methotrexate', 'D) Sirolimus']",C,"Methotrexate, a folic acid antagonist, was first used as an immunosuppressant in transplantation but has found more widespread use in treating malignancies and autoimmune diseases. Answer D is incorrect because sirolimus is used for transplantation. Answer A is incorrect because lamotrigine is used as an antiepileptic. Answer B is incorrect because lithium is used for treating bipolar disorder.",https://www.pathologyoutlines.com/topic/chemistrytherapeuticdrugmonitoring.html,https://www.pathologyoutlines.com/review-questions?sid=3
27,Clinical pathology,7,"A 32 year old man was found dead at home. The medical examiner was called to the decedent's home to investigate the cause of death. At the decedent's home, there were multiple empty prescription pill bottles scattered around and an in situ needle was found within the vein of the man's antecubital fossa. Foaming around the nose and mouth was also noted. Which of the following techniques should be used to definitively identify all the potential opiates the deceased may have ingested?   Enzyme mediated immunologic technique Fluorescence polarization immunoassay Gas chromatography / mass spectrometry High pressure liquid chromatography / mass spectrometry Ion absorption spectroscopy",[],"['A) Enzyme mediated immunologic technique', 'B) Fluorescence polarization immunoassay', 'C) Gas chromatography / mass spectrometry', 'D) High pressure liquid chromatography / mass spectrometry', 'E) Ion absorption spectroscopy']",D,High pressure liquid chromatography should be used to definitely characterize all the opiates ingested by the decedent. Enzyme mediated immunologic technique and fluorescence polarization immunoassay are immunochemical assays used as screening tests but are not definitive. Gas chromatography / mass spectrometry is possible but sample preparation (i.e. derivatization of the compounds) would add additional steps and make the sample preparation more labor intensive and time consuming. Gas chromatography / mass spectrometry is used for mostly nonpolar analytes of interest.,https://www.pathologyoutlines.com/topic/chemistrytoxicology.html,https://www.pathologyoutlines.com/review-questions?sid=3
28,Clinical pathology,8,Which of the following drugs is eliminated from the body following a nonlinear (exponential) kinetic elimination process?   Aspirin Ethanol Heparin Phenytoin Propranolol Warfarin,[],"['A) Aspirin', 'B) Ethanol', 'C) Heparin', 'D) Phenytoin', 'E) Propranolol', 'F) Warfarin']",E,Propranolol (and &gt; 95% of available drugs) follow first order elimination kinetics (i.e. constant fraction per unit time). The remaining &lt; 5% of drugs follow zero order elimination kinetics (i.e. constant amount per unit time).,https://www.pathologyoutlines.com/topic/chemistrytoxicology.html,https://www.pathologyoutlines.com/review-questions?sid=3
29,Clinical pathology,9,"A 65 year old man with no history of thyroid disease is admitted to the medical intensive care unit for septic shock. Thyroid function test is performed due to hyponatremia: TSH 5 μU/mL (0.3 - 4.1), free T4 0.9 ng/dL (0.8 - 1.8), free T3 1.2 pg/mL (1.6 - 4).  What is the most likely cause of abnormal thyroid function test in this patient?   Heterophile antibodies Nonthyroidal illness Primary hypothyroidism Subclinical hypothyroidism TSH producing pituitary adenoma",[],"['A) Heterophile antibodies', 'B) Nonthyroidal illness', 'C) Primary hypothyroidism', 'D) Subclinical hypothyroidism', 'E) TSH producing pituitary adenoma']",B,"Nonthyroidal illness. TFT showed normal free T4, low T3 and slightly elevated TSH. Nonthyroidal illness is the likely background condition. In the early course of illness, free T3 will firstly decrease due to decrease of peripheral conversion while free T4 is still maintained; TSH level is variable (0.1 - 20 μU/mL). Heterophile antibodies is incorrect because normally heterophile antibodies will interfere with TSH measurement, causing falsely high TSH but normal free T4 and T3 level. Primary hypothyroidism is incorrect because free T4 level is normal and TSH level is too low for primary hypothyroidism. Subclinical hypothyroidism is incorrect because free T3 level is low. TSH producing pituitary adenoma is incorrect because free T3 and T4 level is not high. TFT pattern in TSH producing pituitary adenoma is high free T3/T4 and normal or high TSH.",https://www.pathologyoutlines.com/topic/chemistrythyroidfunction.html,https://www.pathologyoutlines.com/review-questions?sid=3
30,Clinical pathology,10,"A 55 year old woman with weight gain and fatigue was found to have an elevated serum TSH and was started on levothyroxine (LT4). She was referred for assistance in managing thyroid replacement therapy. Physical examination showed a pulse rate of 80 beats per minute, no goiter or thyroidectomy scar and normal deep tendon reflexes.  Date	TSH (0.3 - 4.1 μU/mL)	FT4 (0.8 - 1.8 ng/dL)	Levothyroxine dose (mg/day) June 2019	12	1.3	None September 2019	11	1.7	0.075 December 2019	10.5	2.1	0.100  Which of the following is the most likely explanation for these findings?   Free T4 autoantibodies Heterophile antibodies Poor absorption of levothyroxine Resistance to thyroid hormone TSH producing pituitary adenoma",[],"['A) Free T4 autoantibodies', 'B) Heterophile antibodies', 'C) Poor absorption of levothyroxine', 'D) Resistance to thyroid hormone', 'E) TSH producing pituitary adenoma']",B,"Heterophile antibodies. Normal free T4 and high TSH on 06/2019 were compatible with subclinical hypothyroidism. Differential diagnosis is NTI recovery phase, TSH resistance, assay interference (heterophile antibodies, macroTSH), poor absorption of levothyroxine. After trial of LT4 replacement TFT, there were high free T4 and high TSH (similar level as the initial TSH) levels. The most likely explanation is that the patient had heterophile antibodies that caused falsely elevated TSH. When the patients takes LT4, free T4 level is elevated but TSH still high at the same level because of heterophile antibodies.  Free T4 autoantibodies is incorrect since free T4 level was normal at initial evaluation. Poor absorption of levothyroxine is incorrect since free T4 level increased after LT4 treatment. Resistance to thyroid hormone is incorrect since free T4 level was normal at presentation. TSH producing pituitary adenoma is incorrect since the patient did not have clinical thyrotoxicosis and free T4 level was normal at initial evaluation.",https://www.pathologyoutlines.com/topic/chemistrythyroidfunction.html,https://www.pathologyoutlines.com/review-questions?sid=3
31,Cytopathology,1, Which of the following is the category for the above findings in a peritoneal washing according to the international system for reporting serous fluid cytopathology?   Atypia of undetermined significance Malignant Negative for malignancy Nondiagnostic Suspicious for malignancy,['https://www.pathologyoutlines.com/imgau/cytopathologyinternationalsystemLinBrandler07.jpg'],"['A) Atypia of undetermined significance', 'B) Malignant', 'C) Negative for malignancy', 'D) Nondiagnostic', 'E) Suspicious for malignancy']",C,. Negative for malignancy,https://www.pathologyoutlines.com/topic/cytopathologyinternationalsystem.html,https://www.pathologyoutlines.com/review-questions?sid=4
32,Cytopathology,2, Which of the following is the category for the above findings in a peritoneal washing according to the international system for reporting serous fluid cytopathology?   Atypia of undetermined significance Malignant Negative for malignancy Nondiagnostic Suspicious for malignancy,['https://www.pathologyoutlines.com/imgau/cytopathologyinternationalsystemLinBrandler21.jpg'],"['A) Atypia of undetermined significance', 'B) Malignant', 'C) Negative for malignancy', 'D) Nondiagnostic', 'E) Suspicious for malignancy']",C,. Negative for malignancy,https://www.pathologyoutlines.com/topic/cytopathologyinternationalsystem.html,https://www.pathologyoutlines.com/review-questions?sid=4
33,Cytopathology,3, Which of the following is the category for the above findings in a peritoneal washing according to the international system for reporting serous fluid cytopathology in a patient with concurrent surgical pathology with ovarian serous borderline tumor?   Atypia of undetermined significance Malignant Negative for malignancy Nondiagnostic Suspicious for malignancy,['https://www.pathologyoutlines.com/imgau/cytopathologyinternationalsystemLinBrandler10.jpg'],"['A) Atypia of undetermined significance', 'B) Malignant', 'C) Negative for malignancy', 'D) Nondiagnostic', 'E) Suspicious for malignancy']",A,. Atypia of undetermined significance,https://www.pathologyoutlines.com/topic/cytopathologyinternationalsystem.html,https://www.pathologyoutlines.com/review-questions?sid=4
34,Cytopathology,4,A radiologist performs an ultrasound guided fine needle aspiration biopsy of a liver mass obtaining 4 passes from a single anatomic site. Aspirate smears from each pass were evaluated by an attending pathologist during rapid on site evaluation (ROSE). A preliminary interpretation was given to the radiologist for each pass and was subsequently recorded in the patient record in a preliminary report. What CPT codes are appropriate for the ROSE portion of this procedure?   88172x1 and 88177x3 88172x4 88307x1 88333x1 and 88334x3 88333x4,[],"['A) 88172x1 and 88177x3', 'B) 88172x4', 'C) 88307x1', 'D) 88333x1 and 88334x3', 'E) 88333x4']",A,"88172x1 and 88177x3 (see <a href=""https://www.pathologyoutlines.com/topic/cytopathologyrose.html#cytopathologyrosecpt"" class=""scrollto"">CPT coding</a>)",https://www.pathologyoutlines.com/topic/cytopathologyrose.html,https://www.pathologyoutlines.com/review-questions?sid=4
35,Cytopathology,5,"A radiologist performs a CT guided needle core biopsy of a soft tissue mass present in the quadriceps muscle of a patient obtaining 3 passes. Each needle core is transferred to an attending pathologist during rapid on site evaluation (ROSE). The pathologist gently manipulates each needle core on a glass slide to produce touch preparations and then transfers them to a formalin container for posterior processing in the cytology laboratory. Following staining an examination of the touch preparation slides, a preliminary interpretation of ""scant spindle cells and blood"" is provided to the radiologist following each pass. These results were recorded in the patient record in a preliminary report. Examination of the formalin fixed, paraffin embedded needle core tissue with H&E demonstrates a schwannoma which correlates well with the clinical and radiological impression. No immunohistochemical studies were necessary to produce the final diagnosis. What CPT codes should be applied to this pathology case?   88172x1, 88177x2, 88305x1 88172x3, 88305x1 88307x1 88333x1, 88334x2, 88307x1 88333x3, 88307x1",[],"['A) 88172x1, 88177x2, 88305x1', 'B) 88172x3, 88305x1', 'C) 88307x1', 'D) 88333x1, 88334x2, 88307x1', 'E) 88333x3, 88307x1']",D,"88333x1, 88334x2, 88307x1 (see <a href=""https://www.pathologyoutlines.com/topic/cytopathologyrose.html#cytopathologyrosecpt"" class=""scrollto"">CPT coding</a>)",https://www.pathologyoutlines.com/topic/cytopathologyrose.html,https://www.pathologyoutlines.com/review-questions?sid=4
